CGAIdent,HUKSegment
792,Restaurants
794,Premium Local
795,Premium Local
797,Sports Clubs
798,Hotel
802,GPGF
807,Clubland
808,Clubland
809,Hotel
811,Clubland
812,Premium Local
813,Restaurants
814,Premium Local
815,Clubland
818,Premium Local
819,Sports Clubs
820,Hotel
823,Premium Local
824,Premium Local
826,Clubland
828,Premium Local
829,Premium Local
830,Family Pub Dining
831,Clubland
833,Community Pub
835,Hotel
836,Hotel
839,Hotel
840,Premium Local
841,Premium Local
842,Hotel
843,Restaurants
847,Premium Local
848,Hotel
850,Clubland
851,Hotel
852,Hotel
859,Premium Local
861,Family Pub Dining
862,Family Pub Dining
863,Premium Local
865,Hotel
866,Family Pub Dining
867,Premium Local
868,Clubland
869,Premium Local
870,Hotel
876,Hotel
877,Clubland
881,Clubland
882,Premium Local
884,Premium Local
886,Premium Local
889,Clubland
893,Clubland
900,Family Pub Dining
901,Hotel
902,Premium Local
904,Clubland
906,Premium Local
911,Hotel
912,Family Pub Dining
913,Large Venue
914,Premium Local
915,Clubland
917,Premium Local
918,Premium Local
919,Clubland
926,Hotel
928,Community Pub
929,Restaurants
931,Clubland
933,Premium Local
934,Premium Local
938,Hotel
941,Hotel
942,Hotel
943,Hotel
944,Circuit Bar
945,Clubland
946,Sports Clubs
950,Clubland
951,Clubland
952,Clubland
954,Hotel
955,Family Pub Dining
956,Hotel
964,Casual Dining
965,Hotel
969,Hotel
970,Hotel
971,Hotel
972,ABOS
979,Hotel
982,Hotel
983,Hotel
992,Hotel
996,Hotel
997,Hotel
998,Sports Clubs
1002,Sports Clubs
1006,ABOS
1007,GPGF
1008,Restaurants
1010,Restaurants
1012,Circuit Bar
1014,Circuit Bar
1015,Large Venue
1016,Casual Dining
1017,GPGF
1018,GPGF
1020,Circuit Bar
1021,Circuit Bar
1022,Circuit Bar
1027,Large Venue
1029,Clubland
1030,Hotel
1033,Clubland
1037,Restaurants
1038,Restaurants
1039,GPGF
1042,Large Venue
1044,Restaurants
1045,Circuit Bar
1046,Restaurants
1047,Restaurants
1049,Premium Local
1050,Circuit Bar
1051,Restaurants
1053,GPGF
1055,Premium Local
1057,ABOS
1058,Premium Local
1059,Restaurants
1062,Casual Dining
1066,Family Pub Dining
1067,Casual Dining
1069,Premium Local
1070,GPGF
1071,Clubland
1073,Premium Local
1075,Clubland
1077,Sports Clubs
1078,Sports Clubs
1079,Clubland
1081,Premium Local
1082,Clubland
1083,Family Pub Dining
1084,Restaurants
1086,Clubland
1089,Casual Dining
1094,Clubland
1099,Restaurants
1100,High Street Pub
1104,Clubland
1105,Premium Local
1110,Clubland
1111,Premium Local
1112,Community Pub
1114,Clubland
1117,Clubland
1118,High Street Pub
1122,Casual Dining
1129,Community Pub
1132,GPGF
1135,Clubland
1136,Sports Clubs
1137,Sports Clubs
1140,Premium Local
1141,Restaurants
1143,Clubland
1144,Clubland
1145,GPGF
1146,GPGF
1158,Hotel
1159,GPGF
1160,Premium Local
1162,GPGF
1165,Clubland
1166,Premium Local
1170,Clubland
1178,Hotel
1180,Restaurants
1182,Sports Clubs
1184,Premium Local
1185,Premium Local
1186,Casual Dining
1187,ABOS
1190,Clubland
1191,Casual Dining
1194,ABOS
1195,Restaurants
1200,Premium Local
1201,ABOS
1202,Premium Local
1203,Premium Local
1204,Premium Local
1205,Hotel
1209,Premium Local
1212,Family Pub Dining
1213,GPGF
1218,ABOS
1219,Circuit Bar
1224,ABOS
1226,Circuit Bar
1227,Family Pub Dining
1229,Sports Clubs
1230,Clubland
1234,Clubland
1235,Clubland
1236,Clubland
1237,GPGF
1240,GPGF
1241,Hotel
1242,GPGF
1245,Premium Local
1247,Restaurants
1248,Premium Local
1249,Sports Clubs
1250,Premium Local
1251,Premium Local
1252,Clubland
1253,Premium Local
1254,ABOS
1256,Premium Local
1259,Premium Local
1261,Sports Clubs
1275,Sports Clubs
1276,ABOS
1278,Premium Local
1279,Sports Clubs
1283,GPGF
1286,Premium Local
1288,ABOS
1290,Premium Local
1291,Clubland
1294,Premium Local
1295,Sports Clubs
1296,GPGF
1297,GPGF
1298,Restaurants
1300,GPGF
1304,Sports Clubs
1305,Sports Clubs
1306,Premium Local
1307,GPGF
1308,Premium Local
1320,Sports Clubs
1323,Premium Local
1324,Sports Clubs
1325,Sports Clubs
1326,Premium Local
1328,Premium Local
1330,Premium Local
1335,Sports Clubs
1336,Sports Clubs
1338,Sports Clubs
1340,Premium Local
1341,GPGF
1345,Circuit Bar
1346,Circuit Bar
1347,Restaurants
1348,ABOS
1350,Restaurants
1352,GPGF
1353,GPGF
1354,GPGF
1357,GPGF
1361,Restaurants
1363,Premium Local
1365,Restaurants
1366,Restaurants
1374,Sports Clubs
1375,Premium Local
1376,Premium Local
1379,GPGF
1380,Large Venue
1381,GPGF
1383,GPGF
