CGAIdent,HUKSegment
85972,Community Pub
85976,Clubland
85983,Clubland
85987,Clubland
85989,Family Pub Dining
85992,Clubland
85993,Clubland
85996,Community Pub
85997,Community Pub
85999,Restaurants
86001,Family Pub Dining
86002,Family Pub Dining
86007,Clubland
86008,Community Pub
86015,Clubland
86017,Premium Local
86018,GPGF
86020,Restaurants
86021,Restaurants
86023,Premium Local
86024,Premium Local
86025,GPGF
86026,Restaurants
86030,Restaurants
86031,Sports Clubs
86032,Premium Local
86035,Premium Local
86036,Sports Clubs
86039,Sports Clubs
86040,Clubland
86041,GPGF
86042,Premium Local
86044,Premium Local
86047,High Street Pub
86055,Community Pub
86061,High Street Pub
86066,Clubland
86068,Community Pub
86073,Community Pub
86078,Clubland
86079,Clubland
86082,Clubland
86084,Community Pub
86085,Clubland
86087,Circuit Bar
86094,Family Pub Dining
86096,Family Pub Dining
86098,Restaurants
86099,Family Pub Dining
86107,Community Pub
86109,Community Pub
86117,Circuit Bar
86118,Restaurants
86124,Clubland
86128,Community Pub
86130,High Street Pub
86134,High Street Pub
86135,Restaurants
86140,Restaurants
86141,Casual Dining
86142,Restaurants
86145,Casual Dining
86153,Hotel
86157,Clubland
86158,Clubland
86161,Family Pub Dining
86164,Family Pub Dining
86168,Clubland
86171,Clubland
86174,Community Pub
86175,Clubland
86181,Clubland
86184,Hotel
86187,Clubland
86188,Clubland
86189,Restaurants
86190,Premium Local
86192,Community Pub
86194,Community Pub
86199,Community Pub
86201,Clubland
86202,GPGF
86203,ABOS
86205,Premium Local
86207,Family Pub Dining
86208,Restaurants
86210,Clubland
86218,Family Pub Dining
86222,GPGF
86224,Premium Local
86225,Clubland
86227,Hotel
86229,Clubland
86230,Large Venue
86235,Family Pub Dining
86239,Premium Local
86240,Clubland
86242,GPGF
86243,Family Pub Dining
86245,Premium Local
86247,Hotel
86248,Family Pub Dining
86252,GPGF
86253,Premium Local
86255,Clubland
86256,Clubland
86257,Premium Local
86259,Premium Local
86261,Family Pub Dining
86262,Family Pub Dining
86267,Premium Local
86268,Hotel
86271,Hotel
86273,Clubland
86274,Premium Local
86276,Premium Local
86278,Premium Local
86280,Clubland
86281,Premium Local
86283,Community Pub
86286,Clubland
86287,Clubland
86290,Premium Local
86291,Premium Local
86293,Premium Local
86295,Premium Local
86296,Family Pub Dining
86297,Clubland
86309,Community Pub
86313,Family Pub Dining
86316,Hotel
86319,Circuit Bar
86320,Circuit Bar
86321,Clubland
86324,Premium Local
86333,Circuit Bar
86337,Clubland
86338,Family Pub Dining
86341,Hotel
86345,Clubland
86346,Premium Local
86348,Community Pub
86350,Clubland
86351,Premium Local
86353,Family Pub Dining
86354,Clubland
86355,Premium Local
86357,Premium Local
86359,Premium Local
86362,Premium Local
86365,Family Pub Dining
86369,Family Pub Dining
86370,Community Pub
86371,Premium Local
86377,Restaurants
86379,Clubland
86380,Clubland
86381,Clubland
86397,Community Pub
86398,Clubland
86399,Community Pub
86409,Premium Local
86410,Premium Local
86413,Community Pub
86427,Premium Local
86429,Clubland
86430,Community Pub
86431,Hotel
86432,Community Pub
86433,Restaurants
86435,Restaurants
86436,Restaurants
86438,Hotel
86442,Family Pub Dining
86445,Restaurants
86446,Family Pub Dining
86447,Community Pub
86451,Premium Local
86454,Clubland
86461,Family Pub Dining
86463,Restaurants
86466,Clubland
86467,Clubland
86468,High Street Pub
86469,Restaurants
86472,Family Pub Dining
86473,Community Pub
86474,Clubland
86475,Clubland
86477,Restaurants
86479,Clubland
86481,Family Pub Dining
86487,Community Pub
86489,High Street Pub
86490,Community Pub
86492,Clubland
86495,Community Pub
86496,Hotel
86499,Restaurants
86500,Family Pub Dining
86501,Clubland
86502,Premium Local
86506,Clubland
86512,High Street Pub
86516,Family Pub Dining
86517,Community Pub
86518,High Street Pub
86521,Community Pub
86522,Community Pub
86523,Community Pub
86531,Community Pub
86539,High Street Pub
86541,High Street Pub
86542,Community Pub
86545,Clubland
86548,High Street Pub
86549,Community Pub
86553,Large Venue
86554,Clubland
86559,Clubland
86561,Clubland
86564,Community Pub
86566,Community Pub
86567,Family Pub Dining
86571,Circuit Bar
86573,High Street Pub
86574,High Street Pub
86595,Clubland
86596,GPGF
86598,Family Pub Dining
86604,Large Venue
86607,Clubland
86610,Clubland
86617,Restaurants
86618,Clubland
86620,Premium Local
86626,Community Pub
86629,High Street Pub
86631,High Street Pub
86632,High Street Pub
86633,High Street Pub
86635,High Street Pub
86637,High Street Pub
86638,High Street Pub
86640,High Street Pub
86644,High Street Pub
86645,High Street Pub
86649,Clubland
86656,Casual Dining
86657,High Street Pub
86661,Family Pub Dining
86669,Circuit Bar
86679,Restaurants
86685,Clubland
86692,Clubland
86718,Clubland
86726,Community Pub
86731,Circuit Bar
86736,Family Pub Dining
86738,Community Pub
86741,Clubland
86745,Community Pub
86747,Community Pub
86748,Clubland
86749,Family Pub Dining
86754,Clubland
86758,Family Pub Dining
86760,Community Pub
86762,Clubland
86766,Community Pub
86769,Community Pub
86770,Hotel
86775,Community Pub
86778,Clubland
86780,Family Pub Dining
86781,Clubland
86782,Family Pub Dining
86783,Community Pub
86789,Family Pub Dining
86790,Circuit Bar
86791,Family Pub Dining
86792,Premium Local
86793,Community Pub
86794,Premium Local
86795,High Street Pub
86796,Circuit Bar
86798,Clubland
86800,Clubland
86802,High Street Pub
86803,Family Pub Dining
86804,Family Pub Dining
86805,Circuit Bar
86806,Hotel
86809,Hotel
86811,Hotel
86812,Clubland
86813,Premium Local
86816,Premium Local
86817,Clubland
86820,Clubland
86825,Circuit Bar
86826,Restaurants
86832,Premium Local
86833,Family Pub Dining
86834,Clubland
86837,Clubland
86838,Restaurants
86839,Premium Local
86841,Premium Local
86845,Family Pub Dining
86847,Family Pub Dining
86849,Family Pub Dining
86851,Premium Local
86858,Clubland
86861,Clubland
86863,Restaurants
86865,Clubland
86867,Family Pub Dining
86872,Clubland
86873,Clubland
86881,Circuit Bar
86892,Hotel
86893,High Street Pub
86901,Clubland
86903,Large Venue
86909,Circuit Bar
86910,High Street Pub
86911,High Street Pub
86913,High Street Pub
86914,Restaurants
86916,Restaurants
86926,Restaurants
86929,High Street Pub
86933,Casual Dining
86934,Hotel
86942,High Street Pub
86943,Restaurants
86959,High Street Pub
86961,High Street Pub
86975,Circuit Bar
86980,Family Pub Dining
86981,Restaurants
86982,Clubland
86983,High Street Pub
86984,Night Club
86987,Clubland
86991,High Street Pub
86997,Hotel
86998,Family Pub Dining
87001,Clubland
87009,Community Pub
87010,Community Pub
87011,Clubland
87013,Clubland
87016,Clubland
87017,Large Venue
87019,High Street Pub
87023,Community Pub
87036,Circuit Bar
87037,Family Pub Dining
87041,High Street Pub
87046,Restaurants
87047,Premium Local
87049,Community Pub
87050,Restaurants
87052,Community Pub
87054,Premium Local
87055,Premium Local
87059,Community Pub
87060,Clubland
87064,Community Pub
87066,Family Pub Dining
87070,Community Pub
87078,Clubland
87086,Circuit Bar
87092,Clubland
87094,High Street Pub
87096,Clubland
87097,Clubland
87101,Clubland
87103,Clubland
87104,Premium Local
87105,Circuit Bar
87109,Clubland
87110,Clubland
87117,High Street Pub
87118,Restaurants
87119,Circuit Bar
87120,Casual Dining
87123,Premium Local
87124,Clubland
87125,Premium Local
87126,Clubland
87129,Clubland
87130,Casual Dining
87136,Community Pub
87137,Premium Local
87138,Restaurants
87141,Clubland
87145,Clubland
87147,Restaurants
87148,Premium Local
87150,Clubland
87155,Clubland
87157,Circuit Bar
87162,High Street Pub
87164,Clubland
87165,Circuit Bar
87174,Clubland
87175,Community Pub
87176,Circuit Bar
87177,Clubland
87183,Premium Local
87184,Clubland
87186,Circuit Bar
87188,Premium Local
87190,Clubland
87191,Hotel
87192,Community Pub
87196,Clubland
87199,Family Pub Dining
87200,Family Pub Dining
87202,Premium Local
87203,Family Pub Dining
87204,Family Pub Dining
87205,Family Pub Dining
87207,Premium Local
87209,Premium Local
87210,Premium Local
87212,Clubland
87215,Premium Local
87216,Community Pub
87218,Family Pub Dining
87219,Family Pub Dining
87220,Premium Local
87221,Premium Local
87224,Premium Local
87225,Premium Local
87230,GPGF
87231,GPGF
87232,Premium Local
87233,Restaurants
87235,GPGF
87236,High Street Pub
87238,Premium Local
87239,Clubland
87241,Clubland
87242,Family Pub Dining
87243,Premium Local
87245,Premium Local
87246,GPGF
87247,Premium Local
87248,GPGF
87249,Clubland
87250,GPGF
87252,Clubland
87253,Premium Local
87255,Clubland
87256,Premium Local
87257,Clubland
87258,Hotel
87259,Premium Local
87260,Premium Local
87261,Sports Clubs
87263,Hotel
87267,GPGF
87268,Premium Local
87270,Large Venue
87272,Premium Local
87274,Clubland
87275,Family Pub Dining
87277,Hotel
87281,Premium Local
87282,Premium Local
87285,Clubland
87289,Clubland
87291,Clubland
87292,Family Pub Dining
87294,Clubland
87297,Clubland
87298,GPGF
87299,Premium Local
87301,Family Pub Dining
87304,Premium Local
87306,Family Pub Dining
87308,Family Pub Dining
87309,Premium Local
87311,Restaurants
87312,Restaurants
87314,Circuit Bar
87315,Clubland
87316,Clubland
87323,Clubland
87328,Family Pub Dining
87330,Premium Local
87333,Premium Local
87340,GPGF
87341,Family Pub Dining
87342,Clubland
87348,Premium Local
87349,Community Pub
87350,Premium Local
87353,Clubland
87358,Hotel
87360,Clubland
87361,Clubland
87362,Premium Local
87363,Premium Local
87365,Clubland
87366,Large Venue
87369,Family Pub Dining
87372,Premium Local
87374,Hotel
87377,Family Pub Dining
87378,Family Pub Dining
87379,Family Pub Dining
87381,Premium Local
87382,Clubland
87383,Premium Local
87384,GPGF
87387,Premium Local
87390,Premium Local
87395,Family Pub Dining
87400,Clubland
87401,Hotel
87404,Premium Local
87406,Community Pub
87407,Premium Local
87408,Clubland
87416,Clubland
87419,Restaurants
87420,Clubland
87421,Clubland
87422,Family Pub Dining
87425,Premium Local
87427,Clubland
87429,Premium Local
87431,Community Pub
87433,Clubland
87434,Premium Local
87435,Premium Local
87437,Clubland
87438,Clubland
87440,Clubland
87444,Clubland
87446,Hotel
87447,Clubland
87448,Clubland
87450,Family Pub Dining
87453,High Street Pub
87456,ABOS
87459,High Street Pub
87460,Family Pub Dining
87462,High Street Pub
87463,High Street Pub
87467,Clubland
87472,Clubland
87478,Circuit Bar
87485,ABOS
87487,High Street Pub
87491,Family Pub Dining
87504,Clubland
87507,Clubland
87509,Family Pub Dining
87512,Community Pub
87514,Clubland
87517,Clubland
87518,Community Pub
87521,High Street Pub
87522,Clubland
87523,Hotel
87524,Family Pub Dining
87525,Community Pub
87526,Clubland
87527,Community Pub
87535,Clubland
87542,High Street Pub
87552,Large Venue
87553,Clubland
87555,Casual Dining
87560,High Street Pub
87561,Clubland
87562,High Street Pub
87563,Clubland
87566,Community Pub
87567,Clubland
87573,Community Pub
87575,Clubland
87576,Community Pub
87577,Clubland
87581,Clubland
87583,Community Pub
87584,Family Pub Dining
87585,Family Pub Dining
87586,Community Pub
87589,Clubland
87592,Family Pub Dining
87594,Clubland
87595,Community Pub
87597,Community Pub
87598,Community Pub
87602,Family Pub Dining
87604,Community Pub
87607,High Street Pub
87611,Clubland
87612,Clubland
87614,Community Pub
87616,Hotel
87619,Clubland
87631,Clubland
87634,Community Pub
87636,Premium Local
87640,Family Pub Dining
87646,Family Pub Dining
87650,Clubland
87654,Premium Local
87655,Restaurants
87658,Clubland
87659,Community Pub
87662,Community Pub
87663,Restaurants
87664,Clubland
87665,Premium Local
87672,Clubland
87675,Clubland
87678,Family Pub Dining
87688,Community Pub
87689,Sports Clubs
87692,Family Pub Dining
87693,Family Pub Dining
87696,Premium Local
87699,Hotel
87700,Community Pub
87701,Family Pub Dining
87703,Community Pub
87705,Clubland
87719,Premium Local
87720,Family Pub Dining
87721,Hotel
87725,Clubland
87727,Community Pub
87729,Large Venue
87737,Clubland
87749,Community Pub
87757,Clubland
87758,Premium Local
87760,Premium Local
87762,Premium Local
87763,Clubland
87764,Hotel
87767,Family Pub Dining
87770,Clubland
87772,Premium Local
87775,Hotel
87776,Clubland
87777,Premium Local
87779,Family Pub Dining
87784,GPGF
87785,Clubland
87786,Premium Local
87787,Clubland
87794,Large Venue
87797,Clubland
87799,Clubland
87804,Family Pub Dining
87805,Hotel
87807,Community Pub
87811,Community Pub
87815,Clubland
87816,Community Pub
87817,Community Pub
87827,Clubland
87846,Large Venue
87852,Premium Local
87855,Premium Local
87856,Clubland
87857,Clubland
87859,Premium Local
87861,Clubland
87863,Premium Local
87867,GPGF
87868,Hotel
87870,Premium Local
87871,Premium Local
87872,Premium Local
87873,GPGF
87876,Sports Clubs
87880,Hotel
87884,Premium Local
87885,Premium Local
87887,Clubland
87892,Premium Local
87893,Restaurants
87894,Premium Local
87895,Clubland
87897,GPGF
87898,Community Pub
87901,Hotel
87904,GPGF
87905,Sports Clubs
87907,GPGF
87911,Family Pub Dining
87914,Premium Local
87918,Hotel
87920,GPGF
87921,Clubland
87922,Premium Local
87923,Premium Local
87924,Clubland
87925,Premium Local
87928,GPGF
87929,Restaurants
87931,Clubland
87936,Family Pub Dining
87937,GPGF
87939,GPGF
87954,Large Venue
87956,GPGF
87957,GPGF
87959,Premium Local
87960,Family Pub Dining
87963,Premium Local
87970,Clubland
87971,Clubland
87973,Premium Local
87974,Large Venue
87976,Premium Local
87979,Clubland
87980,Premium Local
87982,Clubland
87984,Premium Local
87985,Premium Local
87986,Clubland
87988,Clubland
87993,Premium Local
87996,GPGF
87997,Premium Local
87999,Premium Local
88000,Clubland
88001,Hotel
88003,Premium Local
88009,Premium Local
88010,GPGF
88011,Premium Local
88013,Clubland
88014,Clubland
88016,GPGF
88018,GPGF
88019,Clubland
88020,Premium Local
88022,Premium Local
88024,Premium Local
88025,GPGF
88027,Premium Local
88032,GPGF
88033,GPGF
88037,Hotel
88041,Premium Local
88043,Premium Local
88044,Clubland
88046,GPGF
88047,GPGF
88048,Restaurants
88052,Family Pub Dining
88053,Clubland
88054,Clubland
88057,Family Pub Dining
88059,High Street Pub
88061,Circuit Bar
88064,Hotel
88065,High Street Pub
88067,Clubland
88070,Restaurants
88072,Restaurants
88075,Night Club
88084,Community Pub
88086,Large Venue
88089,Community Pub
88110,Community Pub
88112,Community Pub
88114,Premium Local
88119,Clubland
88120,Clubland
88124,Hotel
88131,Community Pub
88132,Clubland
88135,Clubland
88144,Clubland
88167,Clubland
88169,Clubland
88173,Clubland
88175,Clubland
88176,Clubland
88177,Clubland
88182,Community Pub
88186,Premium Local
88190,Clubland
88191,Clubland
88193,Restaurants
88197,Clubland
88200,Clubland
88202,Family Pub Dining
88203,Clubland
88207,Premium Local
88209,Premium Local
88211,Premium Local
88213,Clubland
88214,Premium Local
88215,Clubland
88217,Clubland
88224,Clubland
88228,Clubland
88229,Family Pub Dining
88230,Clubland
88234,Clubland
88235,Premium Local
88237,Clubland
88239,Clubland
88241,Family Pub Dining
88244,Clubland
88248,Clubland
88249,Clubland
88250,Family Pub Dining
88252,Clubland
88255,Premium Local
88257,Clubland
88258,Premium Local
88262,Clubland
88263,Clubland
88268,Clubland
88271,Community Pub
88272,Clubland
88274,Clubland
88276,Community Pub
88278,Community Pub
88280,Clubland
88281,Clubland
88285,Community Pub
88288,Community Pub
88293,Community Pub
88294,Clubland
88300,Hotel
88304,Clubland
88305,Clubland
88306,Clubland
88309,Clubland
88310,Premium Local
88312,Clubland
88314,Family Pub Dining
88320,Clubland
88326,Community Pub
88328,Clubland
88329,Community Pub
88332,Family Pub Dining
88333,Community Pub
88337,Community Pub
88338,Community Pub
88343,Community Pub
88345,Clubland
88350,Clubland
88352,Clubland
88353,Community Pub
88356,Clubland
88357,Community Pub
88362,Clubland
88365,Clubland
88370,Premium Local
88371,Clubland
88375,Community Pub
88376,Premium Local
88377,Clubland
88381,Clubland
88385,Clubland
88391,Clubland
88393,GPGF
88394,Premium Local
88395,Restaurants
88396,Clubland
88402,Sports Clubs
88408,Premium Local
88414,Premium Local
88415,Clubland
88418,Family Pub Dining
88423,Premium Local
88425,Premium Local
88433,Night Club
88437,Family Pub Dining
88439,Clubland
88442,Clubland
88446,High Street Pub
88447,High Street Pub
88453,Family Pub Dining
88454,Clubland
88457,Clubland
88458,Clubland
88461,Restaurants
88464,Clubland
88466,Clubland
88467,Community Pub
88469,Hotel
88473,Family Pub Dining
88478,Premium Local
88479,Clubland
88481,Community Pub
88482,Clubland
88483,Clubland
88487,Premium Local
88492,Community Pub
88494,Family Pub Dining
88495,Clubland
88498,Community Pub
88500,Clubland
88501,Family Pub Dining
88502,Clubland
88503,Premium Local
88510,Community Pub
88513,Hotel
88516,Clubland
88517,Clubland
88519,Clubland
88521,Clubland
88522,High Street Pub
88526,Clubland
88527,Community Pub
88528,Clubland
88529,Clubland
88531,Clubland
88534,Clubland
88539,Family Pub Dining
88542,Community Pub
88543,Clubland
88545,Clubland
88547,Clubland
88549,Family Pub Dining
88551,Community Pub
88556,Clubland
88559,Clubland
88560,Family Pub Dining
88562,Clubland
88565,Community Pub
88566,Clubland
88573,Community Pub
88576,Clubland
88578,Community Pub
88580,Clubland
88582,Clubland
88583,Family Pub Dining
88584,Family Pub Dining
88586,High Street Pub
88588,High Street Pub
88593,High Street Pub
88596,High Street Pub
88599,Community Pub
88612,Community Pub
88613,Large Venue
88619,Clubland
88621,Clubland
88622,Clubland
88623,Community Pub
88624,Hotel
88628,Community Pub
88633,Clubland
88635,Community Pub
88641,Premium Local
88644,Clubland
88653,Community Pub
88654,Community Pub
88656,Clubland
88657,Family Pub Dining
88661,Community Pub
88666,High Street Pub
88667,Clubland
88670,Clubland
88671,Community Pub
88672,Community Pub
88678,Clubland
88681,Community Pub
88684,Clubland
88687,Restaurants
88689,Clubland
88719,Clubland
88720,Clubland
88721,Clubland
88740,Premium Local
88742,Clubland
88750,Community Pub
88752,Clubland
88753,Clubland
88756,Family Pub Dining
88765,Premium Local
88767,Family Pub Dining
88774,Premium Local
88778,High Street Pub
88779,Clubland
88785,Clubland
88786,Clubland
88793,Clubland
88796,Premium Local
88799,Clubland
88803,Clubland
88808,Community Pub
88817,Community Pub
88818,Community Pub
88820,Clubland
88824,High Street Pub
88827,Clubland
88828,Clubland
88829,Clubland
88835,Clubland
88838,Community Pub
88843,Premium Local
88844,Clubland
88845,Community Pub
88848,Family Pub Dining
88850,Community Pub
88853,Clubland
88854,Community Pub
88855,Premium Local
88856,Clubland
88858,Clubland
88859,Community Pub
88860,Clubland
88866,Community Pub
88869,Clubland
88872,Community Pub
88873,Clubland
88874,Clubland
88875,Community Pub
88881,Clubland
88883,Community Pub
88884,Restaurants
88886,Clubland
88888,Clubland
88889,Large Venue
88892,Circuit Bar
88899,Clubland
88900,Community Pub
88902,Clubland
88905,Community Pub
88906,Clubland
88907,Community Pub
88910,Family Pub Dining
88912,Family Pub Dining
88914,Clubland
88916,Community Pub
88922,Clubland
88923,Clubland
88946,Community Pub
88949,Family Pub Dining
88956,Premium Local
88958,Sports Clubs
88962,GPGF
88965,GPGF
88971,Premium Local
88973,GPGF
88976,GPGF
88978,Hotel
88981,Restaurants
88982,GPGF
88984,GPGF
88986,Hotel
88988,Sports Clubs
89000,Premium Local
89003,Sports Clubs
89005,Circuit Bar
89015,Premium Local
89017,Clubland
89019,Sports Clubs
89020,Premium Local
89021,Circuit Bar
89025,GPGF
89027,GPGF
89029,Circuit Bar
89033,Premium Local
89035,Clubland
89037,Sports Clubs
89042,Premium Local
89045,GPGF
89047,Sports Clubs
89058,ABOS
89061,Premium Local
89065,GPGF
89068,Premium Local
89069,Premium Local
89071,Restaurants
89072,Restaurants
89074,GPGF
89075,Sports Clubs
89080,GPGF
89083,Premium Local
89084,GPGF
89085,Premium Local
89086,Sports Clubs
89087,Premium Local
89094,Premium Local
89096,Premium Local
89098,Premium Local
89101,GPGF
89108,GPGF
89109,Premium Local
89110,Sports Clubs
89113,GPGF
89116,Premium Local
89118,GPGF
89120,Premium Local
89121,GPGF
89124,Hotel
89132,GPGF
89134,Premium Local
89139,Clubland
89141,Clubland
89144,Premium Local
89146,Restaurants
89148,Clubland
89150,GPGF
89154,Clubland
89156,Clubland
89157,Family Pub Dining
89158,Clubland
89163,GPGF
89165,Clubland
89170,GPGF
89171,Clubland
89176,GPGF
89177,Hotel
89178,Hotel
89181,Casual Dining
89182,Restaurants
89183,Restaurants
89185,GPGF
89186,Hotel
89190,GPGF
89191,ABOS
89194,Clubland
89197,GPGF
89199,Clubland
89200,Community Pub
89207,GPGF
89209,Premium Local
89214,Premium Local
89215,Premium Local
89218,Hotel
89221,Hotel
89222,Premium Local
89223,GPGF
89225,Hotel
89226,Premium Local
89228,Clubland
89237,Premium Local
89238,Premium Local
89247,Family Pub Dining
89248,GPGF
89249,Circuit Bar
89251,Restaurants
89253,Casual Dining
89256,GPGF
89258,GPGF
89259,ABOS
89260,GPGF
89265,Hotel
89268,Restaurants
89269,Restaurants
89276,Circuit Bar
89280,Premium Local
89287,Clubland
89288,Clubland
89289,Sports Clubs
89290,Premium Local
89291,Circuit Bar
89294,GPGF
89297,Clubland
89299,GPGF
89301,Premium Local
89307,Clubland
89308,Clubland
89312,GPGF
89314,Premium Local
89316,Hotel
89320,Family Pub Dining
89328,GPGF
89335,GPGF
89336,GPGF
89337,Premium Local
89338,Clubland
89339,Sports Clubs
89344,GPGF
89347,GPGF
89354,Hotel
89356,Premium Local
89357,Premium Local
89359,Hotel
89361,GPGF
89362,Hotel
89363,Premium Local
89366,GPGF
89367,Premium Local
89368,GPGF
89369,Hotel
89370,Hotel
89372,Hotel
89373,Premium Local
89374,Premium Local
89376,Premium Local
89377,Premium Local
89380,Clubland
89382,High Street Pub
89383,Restaurants
89384,Restaurants
89388,Clubland
89394,Clubland
89397,Clubland
89400,Clubland
89407,Clubland
89409,Community Pub
89410,Clubland
89412,Community Pub
89418,Large Venue
89423,Circuit Bar
89424,Family Pub Dining
89428,Restaurants
89434,Restaurants
89444,High Street Pub
89445,Circuit Bar
89452,Circuit Bar
89453,High Street Pub
89465,High Street Pub
89470,High Street Pub
89475,High Street Pub
89480,Restaurants
89484,Clubland
89497,Community Pub
89501,Clubland
89502,Restaurants
89513,Clubland
89514,Community Pub
89515,Community Pub
89518,Community Pub
89522,Clubland
89523,High Street Pub
89541,Clubland
89544,Premium Local
89545,Clubland
89546,Clubland
89551,Night Club
89553,Family Pub Dining
89555,Family Pub Dining
89565,High Street Pub
89567,Family Pub Dining
89577,Premium Local
89578,Clubland
89579,Clubland
89584,Premium Local
89585,Clubland
89588,Clubland
89591,Clubland
89593,Clubland
89595,Premium Local
89596,Clubland
89601,Clubland
89602,Family Pub Dining
89605,Family Pub Dining
89609,Community Pub
89612,Clubland
89614,Premium Local
89615,Clubland
89616,Community Pub
89623,Clubland
89626,Clubland
89628,Community Pub
89632,Family Pub Dining
89635,Clubland
89636,Restaurants
89637,Community Pub
89638,Community Pub
89645,Community Pub
89651,Clubland
89654,Community Pub
89656,Community Pub
89658,Community Pub
89662,Premium Local
89663,Restaurants
89664,Clubland
89665,Clubland
89668,Family Pub Dining
89669,Clubland
89673,Restaurants
89677,Night Club
89679,Family Pub Dining
89681,Family Pub Dining
89685,Hotel
89688,High Street Pub
89690,Large Venue
89694,Night Club
89696,Night Club
89699,Circuit Bar
89700,Circuit Bar
89703,Night Club
89704,High Street Pub
89706,High Street Pub
89709,Clubland
89710,Hotel
89712,Restaurants
89716,Family Pub Dining
89726,Clubland
89737,Community Pub
89739,Community Pub
89747,Premium Local
89748,Casual Dining
89751,Restaurants
89753,Community Pub
89754,Community Pub
89758,Clubland
89765,Family Pub Dining
89766,Restaurants
89770,Family Pub Dining
89775,Family Pub Dining
89779,Casual Dining
89780,Circuit Bar
89783,Family Pub Dining
89790,Family Pub Dining
89795,Clubland
89797,Family Pub Dining
89804,Premium Local
89805,Restaurants
89809,Premium Local
89811,Clubland
89813,Premium Local
89814,Restaurants
89815,Premium Local
89818,Premium Local
89820,Clubland
89821,Clubland
89823,Premium Local
89824,Premium Local
89826,Premium Local
89828,Premium Local
89830,Restaurants
89831,Restaurants
89832,Family Pub Dining
89839,Clubland
89840,Premium Local
89844,Premium Local
89848,Family Pub Dining
89851,Premium Local
89852,Clubland
89853,Premium Local
89855,Premium Local
89856,Premium Local
89857,Restaurants
89861,Large Venue
89863,Family Pub Dining
89864,Large Venue
89865,Premium Local
89867,Clubland
89868,Premium Local
89870,GPGF
89873,GPGF
89874,Clubland
89875,Premium Local
89877,Family Pub Dining
89878,Family Pub Dining
89886,Premium Local
89887,Family Pub Dining
89890,Large Venue
89891,Clubland
89894,Sports Clubs
89897,Clubland
89900,Premium Local
89902,Large Venue
89904,Premium Local
89908,Family Pub Dining
89910,Hotel
89912,Clubland
89914,Premium Local
89916,Premium Local
89923,Hotel
89925,Premium Local
89928,Large Venue
89929,Hotel
89934,Family Pub Dining
89935,Premium Local
89939,Family Pub Dining
89940,Clubland
89943,Hotel
89944,GPGF
89946,Community Pub
89947,GPGF
89948,Restaurants
89952,Premium Local
89953,GPGF
89955,Premium Local
89957,Family Pub Dining
89958,Hotel
89961,Large Venue
89965,Premium Local
89967,Premium Local
89968,Restaurants
89971,Casual Dining
89972,Casual Dining
89973,Clubland
89974,Clubland
89976,Clubland
89979,Sports Clubs
89983,Premium Local
89986,Premium Local
89987,Family Pub Dining
89991,Premium Local
89992,Premium Local
89998,Premium Local
90001,Large Venue
90003,Family Pub Dining
90004,Hotel
90007,Premium Local
90008,Premium Local
90011,Premium Local
90014,Premium Local
90015,GPGF
90016,Clubland
90021,Premium Local
90027,Clubland
90029,Premium Local
90031,Family Pub Dining
90032,Clubland
90036,GPGF
90037,Clubland
90038,Premium Local
90041,Premium Local
90043,Clubland
90049,Clubland
90051,Premium Local
90054,Premium Local
90056,GPGF
90057,Clubland
90061,Premium Local
90063,Premium Local
90064,Premium Local
90067,Casual Dining
90069,GPGF
90071,Family Pub Dining
90073,Premium Local
90074,Family Pub Dining
90081,Premium Local
90084,Family Pub Dining
90087,Premium Local
90089,GPGF
90092,GPGF
90095,Clubland
90096,Premium Local
90100,Community Pub
90101,Premium Local
90102,GPGF
90103,GPGF
90104,Premium Local
90106,Premium Local
90107,Premium Local
90108,Family Pub Dining
90109,Family Pub Dining
90110,Casual Dining
90113,Clubland
90114,Clubland
90115,Family Pub Dining
90116,Restaurants
90117,Hotel
90118,Family Pub Dining
90119,Premium Local
90120,Premium Local
90121,Family Pub Dining
90122,Family Pub Dining
90133,Restaurants
90135,Premium Local
90138,Premium Local
90139,Premium Local
90157,Premium Local
90159,Family Pub Dining
90160,Clubland
90161,Clubland
90162,Premium Local
90164,Premium Local
90165,Family Pub Dining
90166,Premium Local
90170,Premium Local
90175,Large Venue
90176,Premium Local
90177,Premium Local
90178,Large Venue
90180,Premium Local
90181,Hotel
90185,Premium Local
90186,Clubland
90188,Premium Local
90190,Premium Local
90192,Community Pub
90193,Restaurants
90194,Premium Local
90197,GPGF
90202,Premium Local
90203,Restaurants
90205,Large Venue
90206,Hotel
90207,Clubland
90208,Clubland
90211,Premium Local
90212,Clubland
90213,Hotel
90215,Restaurants
90216,Family Pub Dining
90217,Family Pub Dining
90218,Clubland
90220,Circuit Bar
90221,Hotel
90227,Family Pub Dining
90228,Premium Local
90231,Clubland
90233,Family Pub Dining
90234,Family Pub Dining
90235,Clubland
90236,Restaurants
90238,Clubland
90239,Premium Local
90242,Family Pub Dining
90244,Premium Local
90245,Clubland
90250,Family Pub Dining
90256,Clubland
90257,Premium Local
90259,Premium Local
90262,Restaurants
90264,Circuit Bar
90265,Family Pub Dining
90267,Premium Local
90275,High Street Pub
90277,Circuit Bar
90279,Clubland
90281,Clubland
90282,Clubland
90283,Premium Local
90284,Circuit Bar
90285,Family Pub Dining
90288,Premium Local
90289,Restaurants
90290,ABOS
